Hex	Decimal	Name
U+0001F7	503	LATIN CAPITAL LETTER WYNN
U+0001F8	504	LATIN CAPITAL LETTER N WITH GRAVE
U+0001FA	506	LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
U+0001FC	508	LATIN CAPITAL LETTER AE WITH ACUTE
U+0001FE	510	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
U+000200	512	LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
U+000202	514	LATIN CAPITAL LETTER A WITH INVERTED BREVE
U+000204	516	LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
U+000206	518	LATIN CAPITAL LETTER E WITH INVERTED BREVE
U+000208	520	LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
U+00020A	522	LATIN CAPITAL LETTER I WITH INVERTED BREVE
U+00020C	524	LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
U+00020E	526	LATIN CAPITAL LETTER O WITH INVERTED BREVE
U+000210	528	LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
U+000212	530	LATIN CAPITAL LETTER R WITH INVERTED BREVE
U+000214	532	LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
U+000216	534	LATIN CAPITAL LETTER U WITH INVERTED BREVE
U+000218	536	LATIN CAPITAL LETTER S WITH COMMA BELOW
U+00021A	538	LATIN CAPITAL LETTER T WITH COMMA BELOW
U+00021C	540	LATIN CAPITAL LETTER YOGH
U+00021E	542	LATIN CAPITAL LETTER H WITH CARON
U+000220	544	LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
U+000222	546	LATIN CAPITAL LETTER OU
U+000224	548	LATIN CAPITAL LETTER Z WITH HOOK
U+000226	550	LATIN CAPITAL LETTER A WITH DOT ABOVE
U+000228	552	LATIN CAPITAL LETTER E WITH CEDILLA
U+00022A	554	LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
U+00022C	556	LATIN CAPITAL LETTER O WITH TILDE AND MACRON
U+00022E	558	LATIN CAPITAL LETTER O WITH DOT ABOVE
U+000230	560	LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
U+000232	562	LATIN CAPITAL LETTER Y WITH MACRON
U+00023A	570	LATIN CAPITAL LETTER A WITH STROKE
U+00023B	571	LATIN CAPITAL LETTER C WITH STROKE
U+00023D	573	LATIN CAPITAL LETTER L WITH BAR
U+00023E	574	LATIN CAPITAL LETTER T WITH DIAGONAL STROKE
U+000241	577	LATIN CAPITAL LETTER GLOTTAL STOP
U+000243	579	LATIN CAPITAL LETTER B WITH STROKE
U+000244	580	LATIN CAPITAL LETTER U BAR
U+000245	581	LATIN CAPITAL LETTER TURNED V
U+000246	582	LATIN CAPITAL LETTER E WITH STROKE
U+000248	584	LATIN CAPITAL LETTER J WITH STROKE
U+00024A	586	LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
U+00024C	588	LATIN CAPITAL LETTER R WITH STROKE
U+00024E	590	LATIN CAPITAL LETTER Y WITH STROKE
U+000370	880	GREEK CAPITAL LETTER HETA
U+000372	882	GREEK CAPITAL LETTER ARCHAIC SAMPI
U+000376	886	GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
U+00037F	895	GREEK CAPITAL LETTER YOT
U+000386	902	GREEK CAPITAL LETTER ALPHA WITH TONOS
U+000388	904	GREEK CAPITAL LETTER EPSILON WITH TONOS
U+000389	905	GREEK CAPITAL LETTER ETA WITH TONOS
U+00038A	906	GREEK CAPITAL LETTER IOTA WITH TONOS
U+00038C	908	GREEK CAPITAL LETTER OMICRON WITH TONOS
U+00038E	910	GREEK CAPITAL LETTER UPSILON WITH TONOS
U+00038F	911	GREEK CAPITAL LETTER OMEGA WITH TONOS
U+000391	913	GREEK CAPITAL LETTER ALPHA
U+000392	914	GREEK CAPITAL LETTER BETA
U+000393	915	GREEK CAPITAL LETTER GAMMA
U+000394	916	GREEK CAPITAL LETTER DELTA
U+000395	917	GREEK CAPITAL LETTER EPSILON
U+000396	918	GREEK CAPITAL LETTER ZETA
U+000397	919	GREEK CAPITAL LETTER ETA
U+000398	920	GREEK CAPITAL LETTER THETA
U+000399	921	GREEK CAPITAL LETTER IOTA
U+00039A	922	GREEK CAPITAL LETTER KAPPA
U+00039B	923	GREEK CAPITAL LETTER LAMDA
U+00039C	924	GREEK CAPITAL LETTER MU
U+00039D	925	GREEK CAPITAL LETTER NU
U+00039E	926	GREEK CAPITAL LETTER XI
U+00039F	927	GREEK CAPITAL LETTER OMICRON
U+0003A0	928	GREEK CAPITAL LETTER PI
U+0003A1	929	GREEK CAPITAL LETTER RHO
U+0003A3	931	GREEK CAPITAL LETTER SIGMA
U+0003A4	932	GREEK CAPITAL LETTER TAU
U+0003A5	933	GREEK CAPITAL LETTER UPSILON
U+0003A6	934	GREEK CAPITAL LETTER PHI
U+0003A7	935	GREEK CAPITAL LETTER CHI
U+0003A8	936	GREEK CAPITAL LETTER PSI
U+0003A9	937	GREEK CAPITAL LETTER OMEGA
U+0003AA	938	GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
U+0003AB	939	GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
U+0003CF	975	GREEK CAPITAL KAI SYMBOL
U+0003D2	978	GREEK UPSILON WITH HOOK SYMBOL
U+0003D3	979	GREEK UPSILON WITH ACUTE AND HOOK SYMBOL
U+0003D4	980	GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
U+0003D8	984	GREEK LETTER ARCHAIC KOPPA
U+0003DA	986	GREEK LETTER STIGMA
U+0003DC	988	GREEK LETTER DIGAMMA
U+0003DE	990	GREEK LETTER KOPPA
U+0003E0	992	GREEK LETTER SAMPI
U+0003E2	994	COPTIC CAPITAL LETTER SHEI
U+0003E4	996	COPTIC CAPITAL LETTER FEI
U+0003E6	998	COPTIC CAPITAL LETTER KHEI
U+0003E8	1000	COPTIC CAPITAL LETTER HORI
U+0003EA	1002	COPTIC CAPITAL LETTER GANGIA
U+0003EC	1004	COPTIC CAPITAL LETTER SHIMA
U+0003EE	1006	COPTIC CAPITAL LETTER DEI
U+0003F4	1012	GREEK CAPITAL THETA SYMBOL
U+0003F7	1015	GREEK CAPITAL LETTER SHO
U+0003F9	1017	GREEK CAPITAL LUNATE SIGMA SYMBOL
U+0003FA	1018	GREEK CAPITAL LETTER SAN
U+0003FD	1021	GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL
U+0003FE	1022	GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL
U+0003FF	1023	GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+000400	1024	CYRILLIC CAPITAL LETTER IE WITH GRAVE
U+000401	1025	CYRILLIC CAPITAL LETTER IO
U+000402	1026	CYRILLIC CAPITAL LETTER DJE
U+000403	1027	CYRILLIC CAPITAL LETTER GJE
U+000404	1028	CYRILLIC CAPITAL LETTER UKRAINIAN IE
U+000405	1029	CYRILLIC CAPITAL LETTER DZE
U+000406	1030	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
U+000407	1031	CYRILLIC CAPITAL LETTER YI
U+000408	1032	CYRILLIC CAPITAL LETTER JE
U+000409	1033	CYRILLIC CAPITAL LETTER LJE
U+00040A	1034	CYRILLIC CAPITAL LETTER NJE
U+00040B	1035	CYRILLIC CAPITAL LETTER TSHE
U+00040C	1036	CYRILLIC CAPITAL LETTER KJE
U+00040D	1037	CYRILLIC CAPITAL LETTER I WITH GRAVE
U+00040E	1038	CYRILLIC CAPITAL LETTER SHORT U
U+00040F	1039	CYRILLIC CAPITAL LETTER DZHE
U+000410	1040	CYRILLIC CAPITAL LETTER A
U+000411	1041	CYRILLIC CAPITAL LETTER BE
U+000412	1042	CYRILLIC CAPITAL LETTER VE
U+000413	1043	CYRILLIC CAPITAL LETTER GHE
U+000414	1044	CYRILLIC CAPITAL LETTER DE
U+000415	1045	CYRILLIC CAPITAL LETTER IE
U+000416	1046	CYRILLIC CAPITAL LETTER ZHE
U+000417	1047	CYRILLIC CAPITAL LETTER ZE
U+000418	1048	CYRILLIC CAPITAL LETTER I
U+000419	1049	CYRILLIC CAPITAL LETTER SHORT I
U+00041A	1050	CYRILLIC CAPITAL LETTER KA
