Hex	Decimal	Name
U+00016B	363	LATIN SMALL LETTER U WITH MACRON
U+00016D	365	LATIN SMALL LETTER U WITH BREVE
U+00016F	367	LATIN SMALL LETTER U WITH RING ABOVE
U+000171	369	LATIN SMALL LETTER U WITH DOUBLE ACUTE
U+000173	371	LATIN SMALL LETTER U WITH OGONEK
U+000175	373	LATIN SMALL LETTER W WITH CIRCUMFLEX
U+000177	375	LATIN SMALL LETTER Y WITH CIRCUMFLEX
U+00017A	378	LATIN SMALL LETTER Z WITH ACUTE
U+00017C	380	LATIN SMALL LETTER Z WITH DOT ABOVE
U+00017E	382	LATIN SMALL LETTER Z WITH CARON
U+00017F	383	LATIN SMALL LETTER LONG S
U+000180	384	LATIN SMALL LETTER B WITH STROKE
U+000183	387	LATIN SMALL LETTER B WITH TOPBAR
U+000185	389	LATIN SMALL LETTER TONE SIX
U+000188	392	LATIN SMALL LETTER C WITH HOOK
U+00018C	396	LATIN SMALL LETTER D WITH TOPBAR
U+00018D	397	LATIN SMALL LETTER TURNED DELTA
U+000192	402	LATIN SMALL LETTER F WITH HOOK
U+000195	405	LATIN SMALL LETTER HV
U+000199	409	LATIN SMALL LETTER K WITH HOOK
U+00019A	410	LATIN SMALL LETTER L WITH BAR
U+00019B	411	LATIN SMALL LETTER LAMBDA WITH STROKE
U+00019E	414	LATIN SMALL LETTER N WITH LONG RIGHT LEG
U+0001A1	417	LATIN SMALL LETTER O WITH HORN
U+0001A3	419	LATIN SMALL LETTER OI
U+0001A5	421	LATIN SMALL LETTER P WITH HOOK
U+0001A8	424	LATIN SMALL LETTER TONE TWO
U+0001AA	426	LATIN LETTER REVERSED ESH LOOP
U+0001AB	427	LATIN SMALL LETTER T WITH PALATAL HOOK
U+0001AD	429	LATIN SMALL LETTER T WITH HOOK
U+0001B0	432	LATIN SMALL LETTER U WITH HORN
U+0001B4	436	LATIN SMALL LETTER Y WITH HOOK
U+0001B6	438	LATIN SMALL LETTER Z WITH STROKE
U+0001B9	441	LATIN SMALL LETTER EZH REVERSED
U+0001BA	442	LATIN SMALL LETTER EZH WITH TAIL
U+0001BD	445	LATIN SMALL LETTER TONE FIVE
U+0001BE	446	LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
U+0001BF	447	LATIN LETTER WYNN
U+0001C6	454	LATIN SMALL LETTER DZ WITH CARON
U+0001C9	457	LATIN SMALL LETTER LJ
U+0001CC	460	LATIN SMALL LETTER NJ
U+0001CE	462	LATIN SMALL LETTER A WITH CARON
U+0001D0	464	LATIN SMALL LETTER I WITH CARON
U+0001D2	466	LATIN SMALL LETTER O WITH CARON
U+0001D4	468	LATIN SMALL LETTER U WITH CARON
U+0001D6	470	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
U+0001D8	472	LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
U+0001DA	474	LATIN SMALL LETTER U WITH DIAERESIS AND CARON
U+0001DC	476	LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
U+0001DD	477	LATIN SMALL LETTER TURNED E
U+0001DF	479	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
U+0001E1	481	LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
U+0001E3	483	LATIN SMALL LETTER AE WITH MACRON
U+0001E5	485	LATIN SMALL LETTER G WITH STROKE
U+0001E7	487	LATIN SMALL LETTER G WITH CARON
U+0001E9	489	LATIN SMALL LETTER K WITH CARON
U+0001EB	491	LATIN SMALL LETTER O WITH OGONEK
U+0001ED	493	LATIN SMALL LETTER O WITH OGONEK AND MACRON
U+0001EF	495	LATIN SMALL LETTER EZH WITH CARON
U+0001F0	496	LATIN SMALL LETTER J WITH CARON
U+0001F3	499	LATIN SMALL LETTER DZ
U+0001F5	501	LATIN SMALL LETTER G WITH ACUTE
U+0001F9	505	LATIN SMALL LETTER N WITH GRAVE
U+0001FB	507	LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
U+0001FD	509	LATIN SMALL LETTER AE WITH ACUTE
U+0001FF	511	LATIN SMALL LETTER O WITH STROKE AND ACUTE
U+000201	513	LATIN SMALL LETTER A WITH DOUBLE GRAVE
U+000203	515	LATIN SMALL LETTER A WITH INVERTED BREVE
U+000205	517	LATIN SMALL LETTER E WITH DOUBLE GRAVE
U+000207	519	LATIN SMALL LETTER E WITH INVERTED BREVE
U+000209	521	LATIN SMALL LETTER I WITH DOUBLE GRAVE
U+00020B	523	LATIN SMALL LETTER I WITH INVERTED BREVE
U+00020D	525	LATIN SMALL LETTER O WITH DOUBLE GRAVE
U+00020F	527	LATIN SMALL LETTER O WITH INVERTED BREVE
U+000211	529	LATIN SMALL LETTER R WITH DOUBLE GRAVE
U+000213	531	LATIN SMALL LETTER R WITH INVERTED BREVE
U+000215	533	LATIN SMALL LETTER U WITH DOUBLE GRAVE
U+000217	535	LATIN SMALL LETTER U WITH INVERTED BREVE
U+000219	537	LATIN SMALL LETTER S WITH COMMA BELOW
U+00021B	539	LATIN SMALL LETTER T WITH COMMA BELOW
U+00021D	541	LATIN SMALL LETTER YOGH
U+00021F	543	LATIN SMALL LETTER H WITH CARON
U+000221	545	LATIN SMALL LETTER D WITH CURL
U+000223	547	LATIN SMALL LETTER OU
U+000225	549	LATIN SMALL LETTER Z WITH HOOK
U+000227	551	LATIN SMALL LETTER A WITH DOT ABOVE
U+000229	553	LATIN SMALL LETTER E WITH CEDILLA
U+00022B	555	LATIN SMALL LETTER O WITH DIAERESIS AND MACRON
U+00022D	557	LATIN SMALL LETTER O WITH TILDE AND MACRON
U+00022F	559	LATIN SMALL LETTER O WITH DOT ABOVE
U+000231	561	LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON
U+000233	563	LATIN SMALL LETTER Y WITH MACRON
U+000234	564	LATIN SMALL LETTER L WITH CURL
U+000235	565	LATIN SMALL LETTER N WITH CURL
U+000236	566	LATIN SMALL LETTER T WITH CURL
U+000237	567	LATIN SMALL LETTER DOTLESS J
U+000238	568	LATIN SMALL LETTER DB DIGRAPH
U+000239	569	LATIN SMALL LETTER QP DIGRAPH
U+00023C	572	LATIN SMALL LETTER C WITH STROKE
U+00023F	575	LATIN SMALL LETTER S WITH SWASH TAIL
U+000240	576	LATIN SMALL LETTER Z WITH SWASH TAIL
U+000242	578	LATIN SMALL LETTER GLOTTAL STOP
U+000247	583	LATIN SMALL LETTER E WITH STROKE
U+000249	585	LATIN SMALL LETTER J WITH STROKE
U+00024B	587	LATIN SMALL LETTER Q WITH HOOK TAIL
U+00024D	589	LATIN SMALL LETTER R WITH STROKE
U+00024F	591	LATIN SMALL LETTER Y WITH STROKE
U+000250	592	LATIN SMALL LETTER TURNED A
U+000251	593	LATIN SMALL LETTER ALPHA
U+000252	594	LATIN SMALL LETTER TURNED ALPHA
U+000253	595	LATIN SMALL LETTER B WITH HOOK
U+000254	596	LATIN SMALL LETTER OPEN O
U+000255	597	LATIN SMALL LETTER C WITH CURL
U+000256	598	LATIN SMALL LETTER D WITH TAIL
U+000257	599	LATIN SMALL LETTER D WITH HOOK
U+000258	600	LATIN SMALL LETTER REVERSED E
U+000259	601	LATIN SMALL LETTER SCHWA
U+00025A	602	LATIN SMALL LETTER SCHWA WITH HOOK
U+00025B	603	LATIN SMALL LETTER OPEN E
U+00025C	604	LATIN SMALL LETTER REVERSED OPEN E
U+00025D	605	LATIN SMALL LETTER REVERSED OPEN E WITH HOOK
U+00025E	606	LATIN SMALL LETTER CLOSED REVERSED OPEN E
U+00025F	607	LATIN SMALL LETTER DOTLESS J WITH STROKE
U+000260	608	LATIN SMALL LETTER G WITH HOOK
U+000261	609	LATIN SMALL LETTER SCRIPT G
U+000262	610	LATIN LETTER SMALL CAPITAL G
U+000263	611	LATIN SMALL LETTER GAMMA
U+000264	612	LATIN SMALL LETTER RAMS HORN
U+000265	613	LATIN SMALL LETTER TURNED H
U+000266	614	LATIN SMALL LETTER H WITH HOOK
U+000267	615	LATIN SMALL LETTER HENG WITH HOOK
U+000268	616	LATIN SMALL LETTER I WITH STROKE
U+000269	617	LATIN SMALL LETTER IOTA
U+00026A	618	LATIN LETTER SMALL CAPITAL I
U+00026B	619	LATIN SMALL LETTER L WITH MIDDLE TILDE
U+00026C	620	LATIN SMALL LETTER L WITH BELT
U+00026D	621	LATIN SMALL LETTER L WITH RETROFLEX HOOK
U+00026E	622	LATIN SMALL LETTER LEZH
U+00026F	623	LATIN SMALL LETTER TURNED M
U+000270	624	LATIN SMALL LETTER TURNED M WITH LONG LEG
U+000271	625	LATIN SMALL LETTER M WITH HOOK
U+000272	626	LATIN SMALL LETTER N WITH LEFT HOOK
U+000273	627	LATIN SMALL LETTER N WITH RETROFLEX HOOK
U+000274	628	LATIN LETTER SMALL CAPITAL N
U+000275	629	LATIN SMALL LETTER BARRED O
U+000276	630	LATIN LETTER SMALL CAPITAL OE
U+000277	631	LATIN SMALL LETTER CLOSED OMEGA
U+000278	632	LATIN SMALL LETTER PHI
U+000279	633	LATIN SMALL LETTER TURNED R
U+00027A	634	LATIN SMALL LETTER TURNED R WITH LONG LEG
U+00027B	635	LATIN SMALL LETTER TURNED R WITH HOOK
U+00027C	636	LATIN SMALL LETTER R WITH LONG LEG
U+00027D	637	LATIN SMALL LETTER R WITH TAIL
U+00027E	638	LATIN SMALL LETTER R WITH FISHHOOK
U+00027F	639	LATIN SMALL LETTER REVERSED R WITH FISHHOOK
U+000280	640	LATIN LETTER SMALL CAPITAL R
U+000281	641	LATIN LETTER SMALL CAPITAL INVERTED R
U+000282	642	LATIN SMALL LETTER S WITH HOOK
U+000283	643	LATIN SMALL LETTER ESH
U+000284	644	LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
U+000285	645	LATIN SMALL LETTER SQUAT REVERSED ESH
U+000286	646	LATIN SMALL LETTER ESH WITH CURL
U+000287	647	LATIN SMALL LETTER TURNED T
U+000288	648	LATIN SMALL LETTER T WITH RETROFLEX HOOK
U+000289	649	LATIN SMALL LETTER U BAR
U+00028A	650	LATIN SMALL LETTER UPSILON
U+00028B	651	LATIN SMALL LETTER V WITH HOOK
U+00028C	652	LATIN SMALL LETTER TURNED V
U+00028D	653	LATIN SMALL LETTER TURNED W
U+00028E	654	LATIN SMALL LETTER TURNED Y
U+00028F	655	LATIN LETTER SMALL CAPITAL Y
U+000290	656	LATIN SMALL LETTER Z WITH RETROFLEX HOOK
U+000291	657	LATIN SMALL LETTER Z WITH CURL
U+000292	658	LATIN SMALL LETTER EZH
U+000293	659	LATIN SMALL LETTER EZH WITH CURL
U+000295	661	LATIN LETTER PHARYNGEAL VOICED FRICATIVE
U+000296	662	LATIN LETTER INVERTED GLOTTAL STOP
U+000297	663	LATIN LETTER STRETCHED C
U+000298	664	LATIN LETTER BILABIAL CLICK
U+000299	665	LATIN LETTER SMALL CAPITAL B
U+00029A	666	LATIN SMALL LETTER CLOSED OPEN E
U+00029B	667	LATIN LETTER SMALL CAPITAL G WITH HOOK
U+00029C	668	LATIN LETTER SMALL CAPITAL H
U+00029D	669	LATIN SMALL LETTER J WITH CROSSED-TAIL
U+00029E	670	LATIN SMALL LETTER TURNED K
U+00029F	671	LATIN LETTER SMALL CAPITAL L
